model,cv_mae_mean_usd,cv_mae_std_usd,cv_rmse_mean_usd,cv_r2_mean,fit_time_mean_seconds
median_baseline,25220.03773234201,1029.7985216485818,47275.70550051646,-0.08115692595483597,0.04494009017944336
log_ridge,15579.880162721518,1229.6278590150228,47449.192002674376,-0.24771217293477782,0.051447486877441405
random_forest,11108.245402337878,745.3082261140312,23288.952770797794,0.7355319584886305,2.555273103713989
gradient_boosting,12098.785636762144,659.7074386006639,25473.305921597766,0.68524157106496,3.6255950927734375
