listing_id,listing_date,district,rooms,listing_price_usd,source_url,size_m2,level,max_levels,is_new_building,collected_at_utc
89713,2026-08-04,Olmazor,3,125000,https://hata.uz/en/listings/object/prodaetsya-3-komnatnaya-kvartira-v-zhk-olmazor-business-city-89713,86.0,8,9,1,2026-08-21T23:55:40+00:00
89767,2026-08-05,Shayhontohur,1,125000,https://hata.uz/en/listings/object/nest-one-18-etazh-korobka-40m2-vid-na-hilton-b-blok-srochno-89767,40.0,18,23,1,2026-08-21T23:55:40+00:00
89772,2026-08-05,Shayhontohur,2,107000,https://hata.uz/en/listings/object/srochnaya-tsena-zhk-labzak-2-8-10-evro-novyy-68m2-or-r-labzak-sazanchik-89772,68.0,8,10,1,2026-08-21T23:55:40+00:00
89775,2026-08-05,Shayhontohur,3,154000,https://hata.uz/en/listings/object/3-k-kvartira-116-m2-v-zhk-abu-dabi-shayhantahur-premium-komfort-89775,116.0,6,7,1,2026-08-21T23:55:40+00:00
89776,2026-08-05,Shayhontohur,3,114900,https://hata.uz/en/listings/object/lyuks-kvartira-sebzor-3-10-11-79m2-89776,78.0,10,11,1,2026-08-21T23:55:40+00:00
89784,2026-08-05,Shayhontohur,2,145001,https://hata.uz/en/listings/object/prodaetsya-kvartira-zhk-nest-one-2-8-23-445-m2-evro-remont-89784,44.5,8,23,1,2026-08-21T23:55:40+00:00
89785,2026-08-05,Shayhontohur,2,165000,https://hata.uz/en/listings/object/prodaetsya-kvartira-2-4-8-zhk-gardens-residence-tashkent-city-shayha-89785,46.0,4,8,1,2026-08-21T23:55:40+00:00
89787,2026-08-05,Shayhontohur,7,159900,https://hata.uz/en/listings/object/kokcha-oqtepa-266m2-7-xona-dubleks-arzonga-89787,266.0,1,8,1,2026-08-21T23:55:40+00:00
89792,2026-08-05,Shayhontohur,5,159999,https://hata.uz/en/listings/object/srochnaya-tsena-uspeyte-novostroyka-117m2-8m2-terassa-samarkand-darv-89792,125.0,8,12,1,2026-08-21T23:55:40+00:00
89793,2026-08-05,Shayhontohur,3,150000,https://hata.uz/en/listings/object/srochno-prodaetsya-3h-komnatnaya-kvartira-v-zhk-piramit-tower-89793,70.0,23,44,1,2026-08-21T23:55:40+00:00
89794,2026-08-05,Shayhontohur,3,119900,https://hata.uz/en/listings/object/prestizhnyy-zhk-koh-ota-3-komnatnaya-bez-remonta-s-kadastrom-87m2-89794,87.0,4,12,1,2026-08-21T23:55:40+00:00
89795,2026-08-05,Shayhontohur,3,125000,https://hata.uz/en/listings/object/srochno-koh-ota-3kom-korobka-87m2-kohota-maszhidi-tts-rivera-89795,87.0,4,12,1,2026-08-21T23:55:40+00:00
89796,2026-08-05,Shayhontohur,3,124999,https://hata.uz/en/listings/object/srochno-koh-ota-3kom-83m2-labzakom-i-rivera-mechet-haqiqiy-89796,83.0,7,9,1,2026-08-21T23:55:40+00:00
89797,2026-08-05,Shayhontohur,2,167999,https://hata.uz/en/listings/object/srochno-tashkent-city-gardens-46m2-druzhba-tashkent-siti-podklyuch-arzon-89797,46.0,4,8,1,2026-08-21T23:55:40+00:00
89798,2026-08-05,Shayhontohur,2,145000,https://hata.uz/en/listings/object/srochno-arzon-narh-nest-one-korobka-58m2-korobka-druzhba-narodov-89798,58.0,12,51,1,2026-08-21T23:55:40+00:00
89799,2026-08-05,Shayhontohur,3,114800,https://hata.uz/en/listings/object/sebzor-lyuks-3-xona-supper-remont-89799,78.0,10,11,1,2026-08-21T23:55:40+00:00
89802,2026-08-05,Shayhontohur,3,115000,https://hata.uz/en/listings/object/beltepa-mavzesi-3-2-5-89802,97.0,2,5,1,2026-08-21T23:55:40+00:00
89803,2026-08-05,Shayhontohur,1,116000,https://hata.uz/en/listings/object/zhk-nrg-u-tower-1-komnatnaya-evro-lyuks-pod-klyuch-35m2-oliy-mazhlis-vid-89803,35.0,11,27,1,2026-08-21T23:55:40+00:00
89805,2026-08-05,Shayhontohur,1,120000,https://hata.uz/en/listings/object/zhk-nrg-u-tower-1-komnatnaya-evro-lyuks-pod-klyuch-druzhba-narodov-tsentr-89805,35.0,9,27,1,2026-08-21T23:55:40+00:00
89806,2026-08-05,Shayhontohur,3,112000,https://hata.uz/en/listings/object/novostroyka-3-3-6-85m2-srochno-prodaetsya-kvartira-89806,88.0,3,6,1,2026-08-21T23:55:40+00:00
89808,2026-08-05,Shayhontohur,1,120000,https://hata.uz/en/listings/object/prodazha-kvartira-v-zhk-nrg-u-tower-vid-na-oliy-mazhlis-89808,35.0,24,27,1,2026-08-21T23:55:40+00:00
89809,2026-08-05,Shayhontohur,1,120000,https://hata.uz/en/listings/object/zhk-nrg-u-tower-1-komnatnaya-evrolyuks-pod-klyuch-vid-na-tashkent-city-89809,35.0,9,27,1,2026-08-21T23:55:40+00:00
89814,2026-08-05,Shayhontohur,2,130000,https://hata.uz/en/listings/object/prodaetsya-2h-kom-73kvm-druzhba-narodov-tashkent-siti-89814,73.0,6,9,1,2026-08-21T23:55:40+00:00
89815,2026-08-05,Shayhontohur,2,124800,https://hata.uz/en/listings/object/prodazha-novostroyka-tashkent-siti-kvartira-2-18-23-zhk-nest-one-korobka-89815,40.0,18,23,1,2026-08-21T23:55:40+00:00
89818,2026-08-05,Shayhontohur,4,155000,https://hata.uz/en/listings/object/prodaetsya-4hkomnatnaya-kvartira-zh-k-madrid-89818,90.0,4,10,1,2026-08-21T23:55:40+00:00
89820,2026-08-05,Shayhontohur,1,115000,https://hata.uz/en/listings/object/zhk-nrg-u-tower-prodaetsya-1h-kom-lyuks-remont-89820,35.0,11,27,1,2026-08-21T23:55:40+00:00
89828,2026-08-05,Shayhontohur,2,107000,https://hata.uz/en/listings/object/zhk-labzak-srochno-2-komnatnaya-68m2-novyy-remont-nikto-ne-zhil-89828,68.0,8,10,1,2026-08-21T23:55:40+00:00
89831,2026-08-05,Shayhontohur,7,159900,https://hata.uz/en/listings/object/dubleks-7-xona-266m2-kokcha-oqtepa-supper-arzonga-89831,266.0,1,7,1,2026-08-21T23:55:40+00:00
89833,2026-08-05,Shayhontohur,1,116000,https://hata.uz/en/listings/object/studiya-11-etazh-monolit-vid-na-parlament-metro-druzhba-89833,35.0,11,27,1,2026-08-21T23:55:40+00:00
89834,2026-08-05,Shayhontohur,1,120000,https://hata.uz/en/listings/object/1-kom-nrg-u-tower-kv-9-27-evro-premium-klass-shayhantahur-89834,35.0,9,27,1,2026-08-21T23:55:40+00:00
89835,2026-08-05,Shayhontohur,2,149000,https://hata.uz/en/listings/object/nest-one-2-21-23-korobka-40m2-b-blok-vid-na-siti-park-89835,40.0,21,23,1,2026-08-21T23:55:40+00:00
89837,2026-08-05,Shayhontohur,5,160000,https://hata.uz/en/listings/object/prodaetsya-5-8-12-novostroyka-na-samarkand-darvoza-89837,125.0,8,12,1,2026-08-21T23:55:40+00:00
89842,2026-08-05,Shayhontohur,2,132000,https://hata.uz/en/listings/object/2-h-komnatnaya-v-zhk-nrg-u-tower-54m2-na-26-etazhe-id-3535-89842,54.0,21,26,1,2026-08-21T23:55:40+00:00
89843,2026-08-05,Shayhontohur,4,130000,https://hata.uz/en/listings/object/srochno-prodaetsya-kvartira-4-2-4-v-bel-tepa-mahalya-146kvm-130000-89843,146.0,2,4,1,2026-08-21T23:55:40+00:00
